i getaccept E*A dH rho ddH Q
0 1 9.051298689752146e-01 8.375090178560640e-04 1.000000000000000e+00 NA -0.000000000000000e+00
1 1 8.682860683044537e-01 3.764832845263300e-04 1.000000000000000e+00 NA -0.000000000000000e+00
2 1 8.433806320714210e-01 2.698898692869989e-04 1.000000000000000e+00 NA -0.000000000000000e+00
3 1 8.291712373796352e-01 1.569097978517675e-04 1.000000000000000e+00 NA -0.000000000000000e+00
4 1 8.094717572088377e-01 1.991710162201343e-04 1.000000000000000e+00 NA -0.000000000000000e+00
5 1 7.946574716204915e-01 1.228166529472219e-04 1.000000000000000e+00 NA -0.000000000000000e+00
6 1 7.752184116576526e-01 1.531350378627394e-04 1.000000000000000e+00 NA -0.000000000000000e+00
7 1 7.560768601774975e-01 1.927818993863184e-04 1.000000000000000e+00 NA -0.000000000000000e+00
8 1 7.375024287005605e-01 1.260160909168917e-04 1.000000000000000e+00 NA -0.000000000000000e+00
9 1 7.315796711776589e-01 9.007837320496037e-05 1.000000000000000e+00 NA -0.000000000000000e+00
10 1 7.261350701029136e-01 6.692662122986803e-05 1.000000000000000e+00 NA -0.000000000000000e+00
11 1 7.315094314991015e-01 -4.338532539804874e-05 1.000000000000000e+00 NA -0.000000000000000e+00
12 1 7.198013720069298e-01 8.884330395630968e-05 1.000000000000000e+00 NA -0.000000000000000e+00
13 1 7.286799654027509e-01 -6.991246436882648e-06 1.000000000000000e+00 NA -0.000000000000000e+00
14 1 7.226039588924362e-01 2.916762855420529e-05 1.000000000000000e+00 NA -0.000000000000000e+00
15 1 7.099470181579598e-01 1.184815835131303e-04 1.000000000000000e+00 NA -0.000000000000000e+00
16 1 7.041324389480456e-01 1.589467774465447e-05 1.000000000000000e+00 NA -0.000000000000000e+00
17 1 7.042093838709677e-01 -2.777873737613845e-05 1.000000000000000e+00 NA -0.000000000000000e+00
18 1 7.017973601579938e-01 3.477115092209715e-05 1.000000000000000e+00 NA -0.000000000000000e+00
19 1 6.948800609735067e-01 3.194659984728787e-05 1.000000000000000e+00 NA -0.000000000000000e+00
20 1 6.891506313311951e-01 7.501087679884222e-05 1.000000000000000e+00 NA -0.000000000000000e+00
21 1 6.996532208352072e-01 -5.926612584516988e-05 1.000000000000000e+00 NA -0.000000000000000e+00
22 1 7.035557600004390e-01 -6.430385474232025e-05 1.000000000000000e+00 NA -0.000000000000000e+00
23 1 6.897759244225525e-01 8.292907114082482e-05 1.000000000000000e+00 NA -0.000000000000000e+00
24 1 7.055872500524409e-01 -1.271285616439854e-04 1.000000000000000e+00 NA -0.000000000000000e+00
25 1 7.112800549093340e-01 -6.486415395556833e-05 1.000000000000000e+00 NA -0.000000000000000e+00
26 1 7.162287886284593e-01 -2.320369571862102e-05 1.000000000000000e+00 NA -0.000000000000000e+00
27 1 6.981104844481121e-01 4.905211858385883e-05 1.000000000000000e+00 NA -0.000000000000000e+00
28 1 6.938897391987857e-01 5.853404627487180e-05 1.000000000000000e+00 NA -0.000000000000000e+00
29 1 7.034650864549510e-01 -4.231699494994245e-05 1.000000000000000e+00 NA -0.000000000000000e+00
30 1 6.938869212454588e-01 3.955890474571788e-05 1.000000000000000e+00 NA -0.000000000000000e+00
31 1 6.941457476197246e-01 5.539310905078310e-05 1.000000000000000e+00 NA -0.000000000000000e+00
32 1 6.923303230157360e-01 -2.961895256703428e-05 1.000000000000000e+00 NA -0.000000000000000e+00
33 1 6.863400474342806e-01 4.894097105534456e-05 1.000000000000000e+00 NA -0.000000000000000e+00
34 1 6.895629451076764e-01 -1.964340026461286e-05 1.000000000000000e+00 NA -0.000000000000000e+00
35 1 6.869260927600425e-01 -1.121896252698207e-05 1.000000000000000e+00 NA -0.000000000000000e+00
36 1 6.901689885822712e-01 -5.265736922410724e-05 1.000000000000000e+00 NA -0.000000000000000e+00
37 1 6.855917409049779e-01 2.013467496908561e-05 1.000000000000000e+00 NA -0.000000000000000e+00
38 1 6.941016013461523e-01 -3.382727254575002e-05 1.000000000000000e+00 NA -0.000000000000000e+00
39 1 7.055360460600892e-01 7.339951480389573e-06 1.000000000000000e+00 NA -0.000000000000000e+00
40 1 7.033668077682496e-01 3.321094459352025e-05 1.000000000000000e+00 NA -0.000000000000000e+00
41 1 6.964205092232685e-01 5.174643138161628e-05 1.000000000000000e+00 NA -0.000000000000000e+00
42 1 6.925288060325491e-01 -1.111341543946764e-05 1.000000000000000e+00 NA -0.000000000000000e+00
43 1 6.813408328030113e-01 7.741562603769125e-05 1.000000000000000e+00 NA -0.000000000000000e+00
44 1 6.795917526517116e-01 1.107380194298457e-05 1.000000000000000e+00 NA -0.000000000000000e+00
45 1 6.743098550233180e-01 2.918861514444870e-05 1.000000000000000e+00 NA -0.000000000000000e+00
46 1 6.862093592658418e-01 -7.763552730466472e-05 1.000000000000000e+00 NA -0.000000000000000e+00
47 1 6.846906275100726e-01 9.462767366130720e-06 1.000000000000000e+00 NA -0.000000000000000e+00
48 1 7.017933035914290e-01 -1.171245119166997e-04 1.000000000000000e+00 NA -0.000000000000000e+00
49 1 6.841266325184258e-01 9.391497997057741e-05 1.000000000000000e+00 NA -0.000000000000000e+00
50 1 6.948994921961084e-01 -1.054597412348812e-04 1.000000000000000e+00 NA -0.000000000000000e+00
51 1 6.903878903848342e-01 8.490459958920837e-05 1.000000000000000e+00 NA -0.000000000000000e+00
52 1 6.887571783234732e-01 -1.080137690223637e-05 1.000000000000000e+00 NA -0.000000000000000e+00
53 1 6.863558990253615e-01 2.952481736429036e-06 1.000000000000000e+00 NA -0.000000000000000e+00
54 1 6.871279311182033e-01 1.763521322573069e-05 1.000000000000000e+00 NA -0.000000000000000e+00
55 1 6.857930929491074e-01 2.313533946107782e-05 1.000000000000000e+00 NA -0.000000000000000e+00
56 1 6.893544876301134e-01 -4.354456314104027e-05 1.000000000000000e+00 NA -0.000000000000000e+00
57 1 6.766292557929841e-01 9.346902334073093e-05 1.000000000000000e+00 NA -0.000000000000000e+00
58 1 6.715714980332788e-01 4.676178195950342e-05 1.000000000000000e+00 NA -0.000000000000000e+00
59 1 6.821886144969933e-01 -7.708945440754178e-05 1.000000000000000e+00 NA -0.000000000000000e+00
60 1 6.784864772287373e-01 2.477897737662715e-05 1.000000000000000e+00 NA -0.000000000000000e+00
61 1 6.923254150331939e-01 -5.899768871131528e-05 1.000000000000000e+00 NA -0.000000000000000e+00
62 1 6.969828606596062e-01 -3.989143078797497e-05 1.000000000000000e+00 NA -0.000000000000000e+00
63 1 6.968655805944877e-01 1.554591403873928e-05 1.000000000000000e+00 NA -0.000000000000000e+00
64 1 6.871525134852914e-01 2.982036176035763e-05 1.000000000000000e+00 NA -0.000000000000000e+00
65 1 6.886418739726363e-01 -2.343002961424645e-06 1.000000000000000e+00 NA -0.000000000000000e+00
66 1 6.785349397987274e-01 4.111813541385345e-05 1.000000000000000e+00 NA -0.000000000000000e+00
67 1 6.910918160963753e-01 -5.475602279148006e-05 1.000000000000000e+00 NA -0.000000000000000e+00
68 1 6.973843641241394e-01 -7.253403282447834e-06 1.000000000000000e+00 NA -0.000000000000000e+00
69 1 7.048273281987369e-01 -5.554604331337032e-05 1.000000000000000e+00 NA -0.000000000000000e+00
70 1 6.981833991477577e-01 5.849084618603229e-05 1.000000000000000e+00 NA -0.000000000000000e+00
71 1 7.074315673916090e-01 -6.513864468615793e-05 1.000000000000000e+00 NA -0.000000000000000e+00
72 1 6.998244905510980e-01 4.722047151517472e-06 1.000000000000000e+00 NA -0.000000000000000e+00
73 1 7.097387292759328e-01 -6.153390154395311e-05 1.000000000000000e+00 NA -0.000000000000000e+00
74 1 6.966839021214808e-01 9.425927669326484e-05 1.000000000000000e+00 NA -0.000000000000000e+00
75 1 6.911561942462471e-01 5.779100479230692e-05 1.000000000000000e+00 NA -0.000000000000000e+00
76 1 6.948661353082960e-01 -1.325197035839665e-05 1.000000000000000e+00 NA -0.000000000000000e+00
77 1 6.904848661422103e-01 4.250094775670732e-05 1.000000000000000e+00 NA -0.000000000000000e+00
78 1 6.873471572456392e-01 1.305887508351589e-06 1.000000000000000e+00 NA -0.000000000000000e+00
79 1 6.791991391746761e-01 7.201363814601791e-06 1.000000000000000e+00 NA -0.000000000000000e+00
80 1 6.820606743848892e-01 4.520957236309187e-05 1.000000000000000e+00 NA -0.000000000000000e+00
81 1 6.792304825252300e-01 1.493854438194830e-05 1.000000000000000e+00 NA -0.000000000000000e+00
82 1 6.847772982555745e-01 -4.545564775071398e-05 1.000000000000000e+00 NA -0.000000000000000e+00
83 1 6.872965429926594e-01 -1.289362421630358e-05 1.000000000000000e+00 NA -0.000000000000000e+00
84 1 6.891257659717566e-01 -3.456623176134599e-05 1.000000000000000e+00 NA -0.000000000000000e+00
85 1 6.936830948895018e-01 -3.493484973660088e-05 1.000000000000000e+00 NA -0.000000000000000e+00
86 1 6.857754964199111e-01 6.997760283411480e-05 1.000000000000000e+00 NA -0.000000000000000e+00
87 1 6.827396043346867e-01 1.758416965458309e-05 1.000000000000000e+00 NA -0.000000000000000e+00
88 1 6.784025282209423e-01 -5.662662715621991e-06 1.000000000000000e+00 NA -0.000000000000000e+00
89 1 6.895248555355697e-01 -6.933979557288694e-05 1.000000000000000e+00 NA -0.000000000000000e+00
90 1 6.846653103520893e-01 6.232660257410316e-05 1.000000000000000e+00 NA -0.000000000000000e+00
91 1 6.864658743121629e-01 -1.657083248574054e-05 1.000000000000000e+00 NA -0.000000000000000e+00
